fund,universe,method,observations,periods_per_year,annualised_return,annualised_volatility,sharpe_ratio,sortino_ratio,historical_var_95,expected_shortfall_95,maximum_drawdown,growth_of_1,average_turnover,experiment,lambda_tilt
Equity Equal Weight,Equity,Equal Weight,753,252,0.12643529221978822,0.16166197477746672,0.8173873626510391,1.1832171512015803,0.016106228009561904,0.022387917363557355,-0.20321862626913634,1.4272603332576042,0.02723928191238021,base,0.0
Equity Equal Weight + Sentiment Tilt,Equity,Equal Weight + Sentiment Tilt,753,252,0.12381226831210723,0.16131463549943786,0.8043455947209929,1.1629438496643694,0.016107084110191832,0.02234375175164656,-0.2026752910159375,1.4173522885402392,0.05611448429975412,sentiment_augmented,0.15
Equity Risk Parity,Equity,Risk Parity,753,252,0.10115521776539094,0.149872108067034,0.7179265864935956,1.035228323238157,0.015553156545169328,0.02084528709671821,-0.19555413756210294,1.3336670642344262,0.025779218121293215,base,0.0
Equity Risk Parity + Sentiment Tilt,Equity,Risk Parity + Sentiment Tilt,753,252,0.09818780151622009,0.14961931642523169,0.7008467790224047,1.009674491464483,0.01542977247875271,0.02083686427817159,-0.19681290121600015,1.3229566100983725,0.05561581712392748,sentiment_augmented,0.15
