rebalance_date,training_end_date,max_training_observation_date,first_live_return_date,universe,method,fund,assets_used,solver_status,fallback_used,objective_value,weight_sum,min_weight,max_weight,rebalance_turnover,risk_contribution_dispersion
2023-08-01,2023-07-31,2023-07-31,2023-08-01,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.02208908893646033,0.027219623362431365
2023-09-01,2023-08-31,2023-08-31,2023-09-01,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.021630116488075418,0.02709913191037288
2023-10-02,2023-09-29,2023-09-29,2023-10-02,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.019764388141731093,0.027022132226536155
2023-11-01,2023-10-31,2023-10-31,2023-11-01,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.022386155925351217,0.026910107304505763
2023-12-01,2023-11-30,2023-11-30,2023-12-01,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.029474394557912065,0.0267559389644652
2021-01-04,2020-12-31,2020-12-31,2021-01-04,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00025519853425508716,1.0000000000000002,0.0,0.10645413085054527,,0.09681926878803758
2021-02-01,2021-01-29,2021-01-29,2021-02-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00024369677467059303,1.0000000000000002,0.0,0.10255297058381967,0.03049899408982979,0.09257568418583947
2021-03-01,2021-02-26,2021-02-26,2021-03-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00023136907836518152,1.0,0.0,0.10188832238380237,0.02124339000691177,0.09275429943541852
2021-04-01,2021-03-31,2021-03-31,2021-04-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.0002250929056052325,1.0,0.0,0.09305915992038255,0.04722613079273217,0.08244102592968491
2021-05-03,2021-04-30,2021-04-30,2021-05-03,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00021261832618738998,1.0,0.0,0.09186628436409783,0.02027693392546235,0.08221239057541886
2021-06-01,2021-05-28,2021-05-28,2021-06-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00020314225052467415,1.0,0.0,0.09071505716352135,0.02108055492225351,0.08170679645380914
2021-07-01,2021-06-30,2021-06-30,2021-07-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.0001999605131315265,0.9999999999999999,0.0,0.08233834710714719,0.05269530830023611,0.07152415395148815
2021-08-02,2021-07-30,2021-07-30,2021-08-02,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00019049103878961016,0.9999999999999999,0.0,0.0820584041594155,0.012710561330837047,0.0712338940325928
2021-09-01,2021-08-31,2021-08-31,2021-09-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.0001758478760704133,1.0000000000000002,0.0,0.08923436450788384,0.05580239791259072,0.08158597706148567
2021-10-01,2021-09-30,2021-09-30,2021-10-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.0001764826487268752,1.0,0.0,0.08011323189425637,0.06596955371230527,0.0695811660337574
2021-11-01,2021-10-29,2021-10-29,2021-11-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00017442427299335815,1.0,0.0,0.07532489768374086,0.04856061586391485,0.06317537379350865
2021-12-01,2021-11-30,2021-11-30,2021-12-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00015813912248995615,1.0,0.0,0.09146748559221654,0.103662396094893,0.08345158621256989
2022-01-03,2021-12-31,2021-12-31,2022-01-03,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00016768411676712985,0.9999999999999999,0.0,0.07033617549058445,0.1378404955714476,0.05746099567121795
2022-02-01,2022-01-31,2022-01-31,2022-02-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00016447078964494652,0.9999999999999998,0.0,0.06882301669905953,0.026569411032021987,0.05594895682005353
2022-03-01,2022-02-28,2022-02-28,2022-03-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00015529273025118034,1.0,0.0,0.0769511811471266,0.04943328600327311,0.06584139482304914
2022-04-01,2022-03-31,2022-03-31,2022-04-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.0001512516346837183,0.9999999999999998,0.0,0.0788904233665551,0.027759302791346425,0.0673616123953274
2022-05-02,2022-04-29,2022-04-29,2022-05-02,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.0001614389748630442,1.0,0.0,0.0635534646585692,0.10935390795317343,0.048829359576326496
2022-06-01,2022-05-31,2022-05-31,2022-06-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00015938063643509084,1.0,0.0,0.06391564356559355,0.03639916941222734,0.04966317824745339
2022-07-01,2022-06-30,2022-06-30,2022-07-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00015264262988423394,1.0,0.0,0.07256693564226131,0.059233851293347725,0.060127759927158124
2022-08-01,2022-07-29,2022-07-29,2022-08-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00014980682809920902,1.0,0.0,0.07216299220765601,0.03573303686936079,0.060321921329799515
2022-09-01,2022-08-31,2022-08-31,2022-09-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00015023735286178935,1.0,0.0,0.06781456623267242,0.031068499184579837,0.05539295920971114
2022-10-03,2022-09-30,2022-09-30,2022-10-03,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00014855904987375973,1.0000000000000002,0.0,0.07126571047110229,0.025991783553518697,0.060200681888526855
2022-11-01,2022-10-31,2022-10-31,2022-11-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.0001501373093475062,1.0,0.0,0.07110205266914892,0.03296929285458746,0.06013407974720852
2022-12-01,2022-11-30,2022-11-30,2022-12-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00016026186889470586,0.9999999999999999,0.0,0.058217860804589086,0.09532992110364447,0.04510623060991423
2023-01-03,2022-12-30,2022-12-30,2023-01-03,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00015950580763679137,1.0,0.0,0.05638427719939861,0.02223572855015488,0.0433969511226743
2023-02-01,2023-01-31,2023-01-31,2023-02-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00015201136783472507,1.0,0.0,0.06189194375019864,0.05719900015424843,0.04955227723865213
2023-03-01,2023-02-28,2023-02-28,2023-03-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00015334702534227406,1.0,0.0,0.05792945200372238,0.0409833035815384,0.04521745969600857
