rebalance_date,training_end_date,max_training_observation_date,first_live_return_date,universe,method,fund,assets_used,solver_status,fallback_used,objective_value,weight_sum,min_weight,max_weight,rebalance_turnover,risk_contribution_dispersion
2022-12-01,2022-11-30,2022-11-30,2022-12-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,2.007280505312102e-07,1.0000000000000002,0.010764873257315287,0.03567423776250178,0.02820903861306956,0.0003768602273090983
2023-01-03,2022-12-30,2022-12-30,2023-01-03,Equity,Risk Parity,Equity Risk Parity,50,success,False,1.7915958940558454e-07,1.0,0.010797586785249518,0.035489997033825556,0.020166983402714236,0.0003414097038517208
2023-02-01,2023-01-31,2023-01-31,2023-02-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,1.6171443769356766e-07,1.0,0.010868239623680793,0.035285620002752274,0.032602771978325194,0.0003209801475753879
2023-03-01,2023-02-28,2023-02-28,2023-03-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,1.64611120930294e-07,1.0,0.010888865051228332,0.03531299971506039,0.019449725908442635,0.0003246161503499302
2023-04-03,2023-03-31,2023-03-31,2023-04-03,Equity,Risk Parity,Equity Risk Parity,50,success,False,1.7036877906143845e-07,1.0,0.010939277136548119,0.0354687995030817,0.02432130941072059,0.00034220820634406693
2023-05-01,2023-04-28,2023-04-28,2023-05-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,1.7226456924876949e-07,1.0,0.010960962235835146,0.03549489126698692,0.019361601609242704,0.00034818854172382827
2023-06-01,2023-05-31,2023-05-31,2023-06-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,1.6748392439731725e-07,1.0,0.011002382995434684,0.03555312967954677,0.027408373087354325,0.0003467608405556648
2023-07-03,2023-06-30,2023-06-30,2023-07-03,Equity,Risk Parity,Equity Risk Parity,50,success,False,1.685821940335652e-07,1.0,0.01103197025480507,0.03557815175212868,0.018267790653352545,0.00035023048981208324
2023-08-01,2023-07-31,2023-07-31,2023-08-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,1.703469149278232e-07,0.9999999999999998,0.011030306519726443,0.035615438953136395,0.021201867692330116,0.0003530037383030378
2023-09-01,2023-08-31,2023-08-31,2023-09-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,1.6958288818376084e-07,1.0,0.01106524893338841,0.035599786615229535,0.021653534608913977,0.00034936062939430745
2023-10-02,2023-09-29,2023-09-29,2023-10-02,Equity,Risk Parity,Equity Risk Parity,50,success,False,1.6759538651540121e-07,1.0,0.011097795348966944,0.035622647598269074,0.018745614290246952,0.00034764794193001616
2023-11-01,2023-10-31,2023-10-31,2023-11-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,1.7493676768580182e-07,1.0,0.011145189922768932,0.03577970885929167,0.022521202638742355,0.00036084186993569703
2023-12-01,2023-11-30,2023-11-30,2023-12-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,1.8344214931896727e-07,1.0,0.011211657369706144,0.03601151931098341,0.029442361738697027,0.0003694599831147831
2021-01-01,2020-12-31,2020-12-31,2021-01-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,,0.039503833968109664
2021-02-01,2021-01-31,2021-01-31,2021-02-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.1443455128724217,0.050335489403773956
2021-03-01,2021-02-28,2021-02-28,2021-03-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.15533662429037426,0.04938756569929417
2021-04-01,2021-03-31,2021-03-31,2021-04-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.07270729548497047,0.04725771019318632
2021-05-01,2021-04-30,2021-04-30,2021-05-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.144162226528111,0.04969366329243677
2021-06-01,2021-05-31,2021-05-31,2021-06-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.16360572693964281,0.05493279645499826
2021-07-01,2021-06-30,2021-06-30,2021-07-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.04903731964210513,0.053798812671152746
2021-08-01,2021-07-31,2021-07-31,2021-08-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.031834343635401205,0.05326455194936347
2021-09-01,2021-08-31,2021-08-31,2021-09-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.07355296539279191,0.05312828357279045
2021-10-01,2021-09-30,2021-09-30,2021-10-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.041287866922086976,0.053006072789140615
2021-11-01,2021-10-31,2021-10-31,2021-11-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.045124259763770005,0.05275482208752123
2021-12-01,2021-11-30,2021-11-30,2021-12-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.0357010512309129,0.05230580519298243
2022-01-01,2021-12-31,2021-12-31,2022-01-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.02441094978075995,0.052503673737006984
2022-02-01,2022-01-31,2022-01-31,2022-02-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.02102647982226588,0.05186486179323779
2022-03-01,2022-02-28,2022-02-28,2022-03-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.0405182286518643,0.050486721992212116
2022-04-01,2022-03-31,2022-03-31,2022-04-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.04004075397274746,0.05001279222485118
2022-05-01,2022-04-30,2022-04-30,2022-05-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.044407220905901906,0.05029388924845009
2022-06-01,2022-05-31,2022-05-31,2022-06-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.07635119632023679,0.04972997494134691
2022-07-01,2022-06-30,2022-06-30,2022-07-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.06226090409213115,0.04837838400622306
2022-08-01,2022-07-31,2022-07-31,2022-08-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.10515057503004754,0.04781038964872046
2022-09-01,2022-08-31,2022-08-31,2022-09-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.021219935025505163,0.04804649226092715
2022-10-01,2022-09-30,2022-09-30,2022-10-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.05771827862462207,0.04867878647645221
2022-11-01,2022-10-31,2022-10-31,2022-11-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.030994651938395297,0.04858154102296455
2022-12-01,2022-11-30,2022-11-30,2022-12-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.06706297554845747,0.04818411165156414
2023-01-01,2022-12-31,2022-12-31,2023-01-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.03730462590512447,0.048408691007972224
2023-02-01,2023-01-31,2023-01-31,2023-02-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.03460191722455784,0.048644786499596276
2023-03-01,2023-02-28,2023-02-28,2023-03-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.02330339261562521,0.04846695376139827
2023-04-01,2023-03-31,2023-03-31,2023-04-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.059650720856814644,0.04814641334731529
2023-05-01,2023-04-30,2023-04-30,2023-05-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.031202949289222258,0.04801953440456301
2023-06-01,2023-05-31,2023-05-31,2023-06-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.030471567941276312,0.04787535917442745
2023-07-01,2023-06-30,2023-06-30,2023-07-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.12587665668300396,0.048438814992501744
2023-08-01,2023-07-31,2023-07-31,2023-08-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.07575423527195269,0.047974813632172916
2023-09-01,2023-08-31,2023-08-31,2023-09-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.03875494386228875,0.047766901778942786
2023-10-01,2023-09-30,2023-09-30,2023-10-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.021186353438420964,0.047723754732433066
2023-11-01,2023-10-31,2023-10-31,2023-11-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.024196764756997613,0.04748827086796735
2023-12-01,2023-11-30,2023-11-30,2023-12-01,Crypto,Equal Weight,Crypto Equal Weight,10,success,False,,1.0,0.1,0.1,0.032131615307389026,0.047430884642378046
2021-01-01,2020-12-31,2020-12-31,2021-01-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0014435617503276417,0.9999999999999998,0.0,0.7962356103573719,,0.779104528034866
2021-02-01,2021-01-31,2021-01-31,2021-02-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.001531794426492678,1.0,0.0,0.7363358348069816,0.08888086072540113,0.7184318640845903
2021-03-01,2021-02-28,2021-02-28,2021-03-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0016000870605873776,1.0,0.0,0.7818227660348043,0.08416223867781397,0.7728735324352225
2021-04-01,2021-03-31,2021-03-31,2021-04-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0015740891836965938,1.0,0.0,0.8496316534122278,0.14318022581234277,0.849259011845084
2021-05-01,2021-04-30,2021-04-30,2021-05-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0015958284457468419,1.0,0.0,0.8482897001636298,0.15644990778714502,0.8401625446059741
2021-06-01,2021-05-31,2021-05-31,2021-06-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.001781029793202598,0.9999999999999999,0.0,0.795689293121158,0.019859554433852386,0.7687769737039755
2021-07-01,2021-06-30,2021-06-30,2021-07-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.001751172568170658,1.0,0.0,0.9743930420031702,0.1833587794990934,0.9739849046704809
2021-08-01,2021-07-31,2021-07-31,2021-08-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0017705389765713725,0.9999999999999999,0.0,0.7961653868451822,0.18881628250093369,0.772847484515401
2021-09-01,2021-08-31,2021-08-31,2021-09-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0017369363604696714,1.0,0.0,0.7973837081418723,0.035929432522836716,0.7737999475427623
2021-10-01,2021-09-30,2021-09-30,2021-10-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0017357651926298496,1.0,0.0,0.8087235459375409,0.019787543812884268,0.7847786661713997
2021-11-01,2021-10-31,2021-10-31,2021-11-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.001663679727926699,1.0,0.0,0.9386334437022144,0.12902008158991574,0.9336556472086277
2021-12-01,2021-11-30,2021-11-30,2021-12-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0016837091974736744,0.9999999999999999,0.0,0.7854385851691177,0.14548907841285222,0.7602453886912738
2022-01-01,2021-12-31,2021-12-31,2022-01-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0016734919768280551,1.0,0.0,0.7546533389699992,0.03789646905739885,0.7251081909662753
2022-02-01,2022-01-31,2022-01-31,2022-02-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.001644042021146449,1.0,0.0,0.7514882979913663,0.022371494560779807,0.7207957040198996
2022-03-01,2022-02-28,2022-02-28,2022-03-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0015840788126871713,1.0,0.0,0.96767917416607,0.21931820075883388,0.9662626528653249
2022-04-01,2022-03-31,2022-03-31,2022-04-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0016285451308562888,1.0,0.0,0.7296557196410769,0.2483532342304371,0.6994825133083582
2022-05-01,2022-04-30,2022-04-30,2022-05-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.001603624069783325,1.0,0.0,0.7153866548252962,0.011629173914894514,0.6828247064659477
2022-06-01,2022-05-31,2022-05-31,2022-06-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.001537700296266175,1.0,0.0,0.9748984628173583,0.3010256471991297,0.9738958940051738
2022-07-01,2022-06-30,2022-06-30,2022-07-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0015540631671998144,1.0,0.0,0.9605702850146843,0.032670984507886386,0.9615327042663304
2022-08-01,2022-07-31,2022-07-31,2022-08-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0015345765588275577,1.0,0.0,0.9223630107027412,0.04804807185175998,0.9216733861017133
2022-09-01,2022-08-31,2022-08-31,2022-09-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0015089716352117983,0.9999999999999999,0.0,0.9013155949195868,0.01602744748127383,0.8987289671577726
2022-10-01,2022-09-30,2022-09-30,2022-10-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0015677551083574204,1.0,0.0,0.6978628181001776,0.20408813977921647,0.6636457380054643
2022-11-01,2022-10-31,2022-10-31,2022-11-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0014740226243653222,1.0,0.0,0.8274876088953287,0.19130905792441075,0.8149440169991856
2022-12-01,2022-11-30,2022-11-30,2022-12-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0015385752407507107,0.9999999999999999,0.0,0.6818691560646507,0.19568806160681165,0.6451410408721594
2023-01-01,2022-12-31,2022-12-31,2023-01-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0015016113105707307,1.0,0.0,0.6808948257354689,0.004172455563680903,0.6438620448440336
2023-02-01,2023-01-31,2023-01-31,2023-02-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.001475608491639269,1.0,0.0,0.6795271904367425,0.033567550662268505,0.6428453273316642
2023-03-01,2023-02-28,2023-02-28,2023-03-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0014560328738125784,1.0,0.0,0.6776714834155221,0.016992756388438106,0.6411608621918786
2023-04-01,2023-03-31,2023-03-31,2023-04-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.001452420758274439,1.0,0.0,0.6726262193861796,0.04656257063189217,0.6364086615817909
2023-05-01,2023-04-30,2023-04-30,2023-05-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0014260306381344346,1.0,0.0,0.666780183157905,0.005878880786336195,0.630120616398694
2023-06-01,2023-05-31,2023-05-31,2023-06-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0013998041485776254,1.0,0.0,0.656920148374491,0.03240145694082236,0.6195358590674618
2023-07-01,2023-06-30,2023-06-30,2023-07-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0013142433666967815,1.0,0.0,0.8254434293420704,0.14697957578099333,0.8157181224328255
2023-08-01,2023-07-31,2023-07-31,2023-08-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.001360334710563874,1.0,0.0,0.6386218458224859,0.17729183974825605,0.5982723127455913
2023-09-01,2023-08-31,2023-08-31,2023-09-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0012664547632463918,1.0,0.0,0.8205221323442269,0.19794939121897198,0.8105469693415426
2023-10-01,2023-09-30,2023-09-30,2023-10-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.001246866467165541,1.0,0.0,0.7967678769646,0.0254158852518793,0.7832049188780605
2023-11-01,2023-10-31,2023-10-31,2023-11-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.001295606175527717,1.0,0.0,0.6227503128880807,0.21955394631659111,0.5818798233189343
2023-12-01,2023-11-30,2023-11-30,2023-12-01,Crypto,Minimum Variance,Crypto Minimum Variance,10,success,False,0.0012765178558533027,1.0,0.0,0.6263695227814549,0.008676731037258158,0.5861647854906712
2021-01-01,2020-12-31,2020-12-31,2021-01-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.12815750374878312,1.0,0.0,0.5247746409218099,,0.4519317697019094
2021-02-01,2021-01-31,2021-01-31,2021-02-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.1419125280063894,0.9999999999999999,0.0,0.6057266180896939,0.2810289689510398,0.6260184195461435
2021-03-01,2021-02-28,2021-02-28,2021-03-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.16962988831145182,1.0,0.0,0.6558757806044236,0.4268244782194992,0.7982767388805759
2021-04-01,2021-03-31,2021-03-31,2021-04-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.16401947698889616,1.0,0.0,0.46508469870656705,0.125294302642624,0.5952606894216772
2021-05-01,2021-04-30,2021-04-30,2021-05-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.16385071420072841,0.9999999999999999,0.0,0.41382385940534816,0.2958120742845231,0.490751318467536
2021-06-01,2021-05-31,2021-05-31,2021-06-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.1540622365823945,1.0,0.0,0.551495135512455,0.13507877411797062,0.6171799859839313
2021-07-01,2021-06-30,2021-06-30,2021-07-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.14092183119261392,1.0,0.0,0.5740914613749247,0.0348927224960673,0.638582393111969
2021-08-01,2021-07-31,2021-07-31,2021-08-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.13654429842096028,1.0,0.0,0.5323520498101383,0.0454905413229735,0.5910895160913001
2021-09-01,2021-08-31,2021-08-31,2021-09-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.1478296514213026,1.0,0.0,0.6206008025075542,0.041605790224480306,0.6906064678677988
2021-10-01,2021-09-30,2021-09-30,2021-10-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.1366910459624772,1.0,0.0,0.6113211342473113,0.02230705832978815,0.6778446889566628
2021-11-01,2021-10-31,2021-10-31,2021-11-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.13635161647159288,1.0,0.0,0.523782440248388,0.02951040477887705,0.5243228847205044
2021-12-01,2021-11-30,2021-11-30,2021-12-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.13120906721173295,1.0,0.0,0.6055050057833852,0.005296867178008566,0.5737519468298622
2022-01-01,2021-12-31,2021-12-31,2022-01-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.12205019117186369,1.0,0.0,0.5868131290781394,0.004750847058739759,0.5490641310642109
2022-02-01,2022-01-31,2022-01-31,2022-02-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.11189560232872782,1.0,0.0,0.54422617194104,0.01925079177962138,0.5023835143742061
2022-03-01,2022-02-28,2022-02-28,2022-03-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.10929155246781046,1.0,0.0,0.5917288720467726,0.00468473236115382,0.5557396202827286
2022-04-01,2022-03-31,2022-03-31,2022-04-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.11016975073570588,1.0,0.0,0.5796235180170886,0.004265857404402376,0.5414153134411657
2022-05-01,2022-04-30,2022-04-30,2022-05-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.10140323549645604,1.0,0.0,0.6402801638478441,0.006185426333669916,0.6129735423597502
2022-06-01,2022-05-31,2022-05-31,2022-06-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.09221278879553924,1.0,0.0,0.5780395282159027,0.02708256859144632,0.5361495338459634
2022-07-01,2022-06-30,2022-06-30,2022-07-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.08077159741842023,1.0,0.0,0.554308983516926,0.16792936534309272,0.6255352160097322
2022-08-01,2022-07-31,2022-07-31,2022-08-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.08518635547729325,1.0000000000000002,0.0,0.48176043248057215,0.17660641206988445,0.4462736664939476
2022-09-01,2022-08-31,2022-08-31,2022-09-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.081381643404069,1.0,0.0,0.49538444651442876,0.003889856468494824,0.46313488759212823
2022-10-01,2022-09-30,2022-09-30,2022-10-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.07805565095493819,1.0,0.0,0.4558817495936302,0.04203869724346883,0.4961801554296224
2022-11-01,2022-10-31,2022-10-31,2022-11-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.07772858166723662,1.0,0.0,0.5658074992113813,0.08833721266373128,0.5415426062397559
2022-12-01,2022-11-30,2022-11-30,2022-12-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.07225248406578744,1.0,0.0,0.5614677113236524,0.013884206644030382,0.5416595240471717
2023-01-01,2022-12-31,2022-12-31,2023-01-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.06863353199142484,1.0,0.0,0.6092740635662766,0.05560564532901102,0.6048814495606274
2023-02-01,2023-01-31,2023-01-31,2023-02-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.07371344323596031,1.0,0.0,0.5844761578826594,0.041341242559929194,0.5626832769800069
2023-03-01,2023-02-28,2023-02-28,2023-03-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.07233378200819503,1.0,0.0,0.5948593205469775,0.04714816256586734,0.5859763205179065
2023-04-01,2023-03-31,2023-03-31,2023-04-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.07331035647048145,0.9999999999999999,0.0,0.6436340955929579,0.041174221077434764,0.6316820775141496
2023-05-01,2023-04-30,2023-04-30,2023-05-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.07266907730619943,0.9999999999999998,0.0,0.6522719396181906,0.006868506981588879,0.6436212692573073
2023-06-01,2023-05-31,2023-05-31,2023-06-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.07151658675277398,1.0,0.0,0.624887571730991,0.03641411775846233,0.6221688930494607
2023-07-01,2023-06-30,2023-06-30,2023-07-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.06996280928391442,1.0,0.0,0.7114888934555507,0.05937288082293905,0.7285737543329158
2023-08-01,2023-07-31,2023-07-31,2023-08-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.06892404917100826,1.0,0.0,0.6620041833093884,0.029998878800974238,0.67570464596118
2023-09-01,2023-08-31,2023-08-31,2023-09-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.06610040482391846,0.9999999999999999,0.0,0.6578379991438732,0.04031218821200334,0.6763980283207258
2023-10-01,2023-09-30,2023-09-30,2023-10-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.06597642207653263,1.0,0.0,0.6235187838672985,0.04132120610541973,0.6429477998693984
2023-11-01,2023-10-31,2023-10-31,2023-11-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.06679545521970151,1.0,0.0,0.6033658415019225,0.01389461347941189,0.6202216943145733
2023-12-01,2023-11-30,2023-11-30,2023-12-01,Crypto,Tangency,Crypto Tangency,10,success,False,-0.0682723568302433,1.0000000000000002,0.0,0.5786832897093268,0.03312665746452691,0.589369743232448
2021-01-01,2020-12-31,2020-12-31,2021-01-01,Crypto,Risk Parity,Crypto Risk Parity,10,success,False,1.446108985066267e-07,1.0,0.0903723528961606,0.1398971828697888,,0.00047304810355403015
2021-02-01,2021-01-31,2021-01-31,2021-02-01,Crypto,Risk Parity,Crypto Risk Parity,10,success,False,4.088620041416915e-08,1.0,0.08391712723348099,0.14091964855618602,0.15160598117170399,0.00021282504711776784
2021-03-01,2021-02-28,2021-02-28,2021-03-01,Crypto,Risk Parity,Crypto Risk Parity,10,success,False,4.252375756748426e-08,1.0,0.0847729500372719,0.14145787168817803,0.13933307899103842,0.00022737020021283694
2021-04-01,2021-03-31,2021-03-31,2021-04-01,Crypto,Risk Parity,Crypto Risk Parity,10,success,False,1.9226427110433647e-07,0.9999999999999998,0.08588238082118242,0.14082481775220831,0.0726894267036195,0.00045901301478751266
2021-05-01,2021-04-30,2021-04-30,2021-05-01,Crypto,Risk Parity,Crypto Risk Parity,10,success,False,5.054061306318561e-08,1.0,0.08583512873206696,0.1448892709578138,0.15311298549182956,0.0002710561100402048
2021-06-01,2021-05-31,2021-05-31,2021-06-01,Crypto,Risk Parity,Crypto Risk Parity,10,success,False,1.8074573636759437e-07,1.0,0.08430970918710638,0.15410316263237825,0.17443566007743122,0.0003896529770091861
2021-07-01,2021-06-30,2021-06-30,2021-07-01,Crypto,Risk Parity,Crypto Risk Parity,10,success,False,1.215060152335538e-07,1.0,0.08462843903810474,0.152561065912858,0.052009613403229085,0.0003091270990105699
2021-08-01,2021-07-31,2021-07-31,2021-08-01,Crypto,Risk Parity,Crypto Risk Parity,10,success,False,7.19125412398398e-07,1.0,0.08441822362380459,0.15233633824752232,0.03608584201246128,0.000774162821538818
2021-09-01,2021-08-31,2021-08-31,2021-09-01,Crypto,Risk Parity,Crypto Risk Parity,10,success,False,2.928582189950736e-07,1.0,0.08473135667167166,0.15213995962812976,0.0749574016957049,0.00044244722744320175
2021-10-01,2021-09-30,2021-09-30,2021-10-01,Crypto,Risk Parity,Crypto Risk Parity,10,success,False,2.627200639131768e-07,1.0,0.08461741045210268,0.15157504174383463,0.04417295755184825,0.00042356528114217973
2021-11-01,2021-10-31,2021-10-31,2021-11-01,Crypto,Risk Parity,Crypto Risk Parity,10,success,False,2.438060738852903e-07,1.0,0.08463599117704404,0.1509066830718608,0.049220962163547086,0.0004397795506670549
2021-12-01,2021-11-30,2021-11-30,2021-12-01,Crypto,Risk Parity,Crypto Risk Parity,10,success,False,2.203531036204133e-07,1.0,0.08482982427227348,0.1504775687087835,0.036055887396276146,0.0004463416624874983
2022-01-01,2021-12-31,2021-12-31,2022-01-01,Crypto,Risk Parity,Crypto Risk Parity,10,success,False,2.073412854270196e-07,1.0,0.08448065337514506,0.14977489195380367,0.024417210303324326,0.0004162460915038274
2022-02-01,2022-01-31,2022-01-31,2022-02-01,Crypto,Risk Parity,Crypto Risk Parity,10,success,False,2.449070890014909e-07,1.0,0.08485398885122289,0.14956666138793037,0.022832047914329863,0.0004642083184343143
2022-03-01,2022-02-28,2022-02-28,2022-03-01,Crypto,Risk Parity,Crypto Risk Parity,10,success,False,2.7551474006463534e-07,1.0,0.0853549911476003,0.1479910304648317,0.04000083278532145,0.0004777823180193569
2022-04-01,2022-03-31,2022-03-31,2022-04-01,Crypto,Risk Parity,Crypto Risk Parity,10,success,False,2.6552494741603194e-07,1.0,0.08543015498304408,0.1471980743466,0.0388129470059281,0.0004630803176360748
2022-05-01,2022-04-30,2022-04-30,2022-05-01,Crypto,Risk Parity,Crypto Risk Parity,10,success,False,2.4190877602208584e-07,0.9999999999999999,0.08517977726348946,0.14708349119794198,0.04494781585027353,0.00046224243752268634
2022-06-01,2022-05-31,2022-05-31,2022-06-01,Crypto,Risk Parity,Crypto Risk Parity,10,success,False,2.622009001594511e-07,1.0,0.08558767529519942,0.14719468311090497,0.07390676969180059,0.0004608378948712105
