date,universe,method,fund,return,periods_per_year
2021-04-29,Equity,Equal Weight,Equity Equal Weight,0.008854898351562737,252
2021-04-30,Equity,Equal Weight,Equity Equal Weight,-0.0067296475233175465,252
2021-05-03,Equity,Equal Weight,Equity Equal Weight,0.0074376449481444815,252
2021-05-04,Equity,Equal Weight,Equity Equal Weight,-0.0023142375990448214,252
2021-05-05,Equity,Equal Weight,Equity Equal Weight,0.005992361499102263,252
2021-05-06,Equity,Equal Weight,Equity Equal Weight,0.008050152328450045,252
2021-05-07,Equity,Equal Weight,Equity Equal Weight,0.00963665939255605,252
2021-05-10,Equity,Equal Weight,Equity Equal Weight,-0.004327123236936114,252
2021-05-11,Equity,Equal Weight,Equity Equal Weight,-0.009261384465219461,252
2021-05-12,Equity,Equal Weight,Equity Equal Weight,-0.015936792590103527,252
2021-05-13,Equity,Equal Weight,Equity Equal Weight,0.008494958615479206,252
2021-05-14,Equity,Equal Weight,Equity Equal Weight,0.013989839118725322,252
2021-05-17,Equity,Equal Weight,Equity Equal Weight,0.003109889447838574,252
2021-05-18,Equity,Equal Weight,Equity Equal Weight,-0.008646340971441622,252
2021-05-19,Equity,Equal Weight,Equity Equal Weight,-0.005355264782657151,252
2021-05-20,Equity,Equal Weight,Equity Equal Weight,0.008595708763838071,252
2021-05-21,Equity,Equal Weight,Equity Equal Weight,0.0023746797752530243,252
2021-05-24,Equity,Equal Weight,Equity Equal Weight,0.006160084121522578,252
2021-05-25,Equity,Equal Weight,Equity Equal Weight,-0.005482264863134029,252
2021-05-26,Equity,Equal Weight,Equity Equal Weight,0.0037127526757294287,252
2021-05-27,Equity,Equal Weight,Equity Equal Weight,0.002493264197657326,252
2021-05-28,Equity,Equal Weight,Equity Equal Weight,0.0029368120789191243,252
2021-06-01,Equity,Equal Weight,Equity Equal Weight,0.006155867931106327,252
2021-06-02,Equity,Equal Weight,Equity Equal Weight,0.003927973385446997,252
2021-06-03,Equity,Equal Weight,Equity Equal Weight,0.0015356426218946576,252
2021-06-04,Equity,Equal Weight,Equity Equal Weight,0.00663026846810969,252
2021-06-07,Equity,Equal Weight,Equity Equal Weight,-0.001919024263638152,252
2021-06-08,Equity,Equal Weight,Equity Equal Weight,-0.0026256523440645056,252
2021-06-09,Equity,Equal Weight,Equity Equal Weight,-0.0026214941868457227,252
2021-06-10,Equity,Equal Weight,Equity Equal Weight,0.0035983856432469487,252
2021-06-11,Equity,Equal Weight,Equity Equal Weight,-0.00019304660451298578,252
2021-06-14,Equity,Equal Weight,Equity Equal Weight,-0.0015218262616063982,252
2021-06-15,Equity,Equal Weight,Equity Equal Weight,-0.0014924320060200659,252
2021-06-16,Equity,Equal Weight,Equity Equal Weight,-0.00794295372627938,252
2021-06-17,Equity,Equal Weight,Equity Equal Weight,-0.008628992318018565,252
2021-06-18,Equity,Equal Weight,Equity Equal Weight,-0.015075440337741249,252
2021-06-21,Equity,Equal Weight,Equity Equal Weight,0.016981836922855056,252
2021-06-22,Equity,Equal Weight,Equity Equal Weight,0.0013849084679286628,252
2021-06-23,Equity,Equal Weight,Equity Equal Weight,-0.0034092189923983834,252
2021-06-24,Equity,Equal Weight,Equity Equal Weight,0.008045844887354254,252
2021-06-25,Equity,Equal Weight,Equity Equal Weight,0.007796049512859092,252
2021-06-28,Equity,Equal Weight,Equity Equal Weight,-0.0016871117212886432,252
2021-06-29,Equity,Equal Weight,Equity Equal Weight,-0.00041512416175831345,252
2021-06-30,Equity,Equal Weight,Equity Equal Weight,0.004396661504242165,252
2021-07-01,Equity,Equal Weight,Equity Equal Weight,0.006588444236266209,252
2021-07-02,Equity,Equal Weight,Equity Equal Weight,0.0037870288658624985,252
2021-07-06,Equity,Equal Weight,Equity Equal Weight,-0.008689862235726454,252
2021-07-07,Equity,Equal Weight,Equity Equal Weight,9.602564581949087e-05,252
2021-07-08,Equity,Equal Weight,Equity Equal Weight,-0.006922522612545072,252
2021-07-09,Equity,Equal Weight,Equity Equal Weight,0.01211670315324331,252
2021-07-12,Equity,Equal Weight,Equity Equal Weight,0.004299687110597881,252
2021-07-13,Equity,Equal Weight,Equity Equal Weight,-0.004766188522257002,252
2021-07-14,Equity,Equal Weight,Equity Equal Weight,-0.0013789228043061602,252
2021-07-15,Equity,Equal Weight,Equity Equal Weight,-0.0012527313665276264,252
2021-07-16,Equity,Equal Weight,Equity Equal Weight,-0.0094583508671908,252
2021-07-19,Equity,Equal Weight,Equity Equal Weight,-0.01726527922780359,252
2021-07-20,Equity,Equal Weight,Equity Equal Weight,0.011365506267585472,252
2021-07-21,Equity,Equal Weight,Equity Equal Weight,0.01031280545381726,252
2021-07-22,Equity,Equal Weight,Equity Equal Weight,-0.001290319131949631,252
2021-07-23,Equity,Equal Weight,Equity Equal Weight,0.005172454986152821,252
2021-07-26,Equity,Equal Weight,Equity Equal Weight,0.0056894440619372506,252
2021-07-27,Equity,Equal Weight,Equity Equal Weight,-0.002067414333794766,252
2021-07-28,Equity,Equal Weight,Equity Equal Weight,0.002450610591411265,252
2021-07-29,Equity,Equal Weight,Equity Equal Weight,0.006330181297196201,252
2021-07-30,Equity,Equal Weight,Equity Equal Weight,-0.005476928437086001,252
2021-08-02,Equity,Equal Weight,Equity Equal Weight,-0.0025946151195928874,252
2021-08-03,Equity,Equal Weight,Equity Equal Weight,0.006555937558699152,252
2021-08-04,Equity,Equal Weight,Equity Equal Weight,-0.007995184894552278,252
2021-08-05,Equity,Equal Weight,Equity Equal Weight,0.004858409186381643,252
2021-08-06,Equity,Equal Weight,Equity Equal Weight,0.003386159313318462,252
2021-08-09,Equity,Equal Weight,Equity Equal Weight,-0.0025151353318879437,252
2021-08-10,Equity,Equal Weight,Equity Equal Weight,0.00622520196822989,252
2021-08-11,Equity,Equal Weight,Equity Equal Weight,0.008553749273534141,252
2021-08-12,Equity,Equal Weight,Equity Equal Weight,0.0018025545333928794,252
2021-08-13,Equity,Equal Weight,Equity Equal Weight,0.001137156171144575,252
2021-08-16,Equity,Equal Weight,Equity Equal Weight,-0.0013067599761297918,252
2021-08-17,Equity,Equal Weight,Equity Equal Weight,-0.00534792781736097,252
2021-08-18,Equity,Equal Weight,Equity Equal Weight,-0.012821725418145535,252
2021-08-19,Equity,Equal Weight,Equity Equal Weight,-0.004620087357378641,252
2021-08-20,Equity,Equal Weight,Equity Equal Weight,0.005321036088544203,252
2021-08-23,Equity,Equal Weight,Equity Equal Weight,0.010275235784609368,252
2021-08-24,Equity,Equal Weight,Equity Equal Weight,0.002133403403996566,252
2021-08-25,Equity,Equal Weight,Equity Equal Weight,0.0002972607359191247,252
2021-08-26,Equity,Equal Weight,Equity Equal Weight,-0.007054964671320488,252
2021-08-27,Equity,Equal Weight,Equity Equal Weight,0.011274058695481978,252
2021-08-30,Equity,Equal Weight,Equity Equal Weight,-0.0008556941413459176,252
2021-08-31,Equity,Equal Weight,Equity Equal Weight,-0.00035154282498478523,252
2021-09-01,Equity,Equal Weight,Equity Equal Weight,-0.002052550198318417,252
2021-09-02,Equity,Equal Weight,Equity Equal Weight,0.00692413419262577,252
2021-09-03,Equity,Equal Weight,Equity Equal Weight,-0.0034739609787678314,252
2021-09-07,Equity,Equal Weight,Equity Equal Weight,-0.010009097258011456,252
2021-09-08,Equity,Equal Weight,Equity Equal Weight,-0.001972143961338453,252
2021-09-09,Equity,Equal Weight,Equity Equal Weight,-0.006242056306770116,252
2021-09-10,Equity,Equal Weight,Equity Equal Weight,-0.0037122719779800503,252
2021-09-13,Equity,Equal Weight,Equity Equal Weight,0.005540850199334925,252
2021-09-14,Equity,Equal Weight,Equity Equal Weight,-0.009594622715975656,252
2021-09-15,Equity,Equal Weight,Equity Equal Weight,0.008697701909292489,252
2021-09-16,Equity,Equal Weight,Equity Equal Weight,-0.004843745212585662,252
2021-09-17,Equity,Equal Weight,Equity Equal Weight,-0.01150139410424331,252
2021-09-20,Equity,Equal Weight,Equity Equal Weight,-0.0171070073638203,252
2021-09-21,Equity,Equal Weight,Equity Equal Weight,-0.0021089054322317364,252
2021-09-22,Equity,Equal Weight,Equity Equal Weight,0.008905878341474216,252
2021-09-23,Equity,Equal Weight,Equity Equal Weight,0.011459114793696431,252
2021-09-24,Equity,Equal Weight,Equity Equal Weight,-0.0023443356466225375,252
2021-09-27,Equity,Equal Weight,Equity Equal Weight,0.0032894814945791905,252
2021-09-28,Equity,Equal Weight,Equity Equal Weight,-0.011152180037691917,252
2021-09-29,Equity,Equal Weight,Equity Equal Weight,0.003919694130095626,252
2021-09-30,Equity,Equal Weight,Equity Equal Weight,-0.010112777369907561,252
2021-10-01,Equity,Equal Weight,Equity Equal Weight,0.012342170182835965,252
2021-10-04,Equity,Equal Weight,Equity Equal Weight,-0.002745104393907883,252
2021-10-05,Equity,Equal Weight,Equity Equal Weight,0.005693677902995397,252
2021-10-06,Equity,Equal Weight,Equity Equal Weight,0.0010971533003962207,252
2021-10-07,Equity,Equal Weight,Equity Equal Weight,0.008043666617446347,252
2021-10-08,Equity,Equal Weight,Equity Equal Weight,-0.0008405341466329578,252
2021-10-11,Equity,Equal Weight,Equity Equal Weight,-0.008973806475380097,252
2021-10-12,Equity,Equal Weight,Equity Equal Weight,-0.0007657505468342868,252
2021-10-13,Equity,Equal Weight,Equity Equal Weight,0.0032749128553063653,252
2021-10-14,Equity,Equal Weight,Equity Equal Weight,0.012783921551769493,252
2021-10-15,Equity,Equal Weight,Equity Equal Weight,0.004786977308970226,252
2021-10-18,Equity,Equal Weight,Equity Equal Weight,0.00027362495568025193,252
2021-10-19,Equity,Equal Weight,Equity Equal Weight,0.00980585190173537,252
