fund,universe,method,latest_rebalance_date,ticker,weight
Combined Equal Weight,Combined,Equal Weight,2023-12-01,AEP,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,AMD,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,AMGN,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,AMT,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,BA,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,BCH-USD,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,BTC-USD,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,CAT,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,CCI,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,CMCSA,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,COP,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,CVX,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,D,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,DD,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,DIS,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,DOW,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,DUK,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,EA,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,EOS-USD,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,ETC-USD,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,ETH-USD,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,GE,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,GILD,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,GS,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,INTC,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,KO,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,LTC-USD,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,MMM,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,MRK,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,MS,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,NEE,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,NEM,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,NKE,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,NUE,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,NVDA,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,O,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,OXY,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,PLD,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,PSA,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,QCOM,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,SBUX,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,SHW,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,SLB,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,SO,0.016666666666666666
