date,ticker,asset_class,sector,return
2021-11-30,ETH-USD,Crypto,Crypto,0.041927923919998555
2021-12-01,ETH-USD,Crypto,Crypto,-0.009605737064494413
2021-12-02,ETH-USD,Crypto,Crypto,-0.016500577593133392
2021-12-03,ETH-USD,Crypto,Crypto,-0.0644151456839035
2021-12-04,ETH-USD,Crypto,Crypto,-0.023957757548988323
2021-12-05,ETH-USD,Crypto,Crypto,0.019112436240023678
2021-12-06,ETH-USD,Crypto,Crypto,0.03820919928845279
2021-12-07,ETH-USD,Crypto,Crypto,-0.01002028298494384
2021-12-08,ETH-USD,Crypto,Crypto,0.028805240908762686
2021-12-09,ETH-USD,Crypto,Crypto,-0.07197932643737959
2021-12-10,ETH-USD,Crypto,Crypto,-0.05129351127002291
2021-12-11,ETH-USD,Crypto,Crypto,0.0450189266171952
2021-12-12,ETH-USD,Crypto,Crypto,0.01224172241858712
2021-12-13,ETH-USD,Crypto,Crypto,-0.08470922459893049
2021-12-14,ETH-USD,Crypto,Crypto,-0.010249485280602655
2021-12-15,ETH-USD,Crypto,Crypto,0.07287480532970947
2021-12-16,ETH-USD,Crypto,Crypto,-0.013915763227156375
2021-12-17,ETH-USD,Crypto,Crypto,-0.020942280956898096
2021-12-18,ETH-USD,Crypto,Crypto,0.020975336205050432
2021-12-19,ETH-USD,Crypto,Crypto,-0.009661431377819718
2021-12-20,ETH-USD,Crypto,Crypto,0.0028684990961875823
2021-12-21,ETH-USD,Crypto,Crypto,0.021967194618366825
2021-12-22,ETH-USD,Crypto,Crypto,-0.009492022978098258
2021-12-23,ETH-USD,Crypto,Crypto,0.03162050877094025
2021-12-24,ETH-USD,Crypto,Crypto,-0.01461355562486455
2021-12-25,ETH-USD,Crypto,Crypto,0.011190288276532456
2021-12-26,ETH-USD,Crypto,Crypto,-0.0063403613927860425
2021-12-27,ETH-USD,Crypto,Crypto,-0.007321887161027885
2021-12-28,ETH-USD,Crypto,Crypto,-0.058613436676413055
2021-12-29,ETH-USD,Crypto,Crypto,-0.045347586768066606
2021-12-30,ETH-USD,Crypto,Crypto,0.02351372914831229
2021-12-31,ETH-USD,Crypto,Crypto,-0.008406161003285728
2022-01-01,ETH-USD,Crypto,Crypto,0.023641838167751006
2022-01-02,ETH-USD,Crypto,Crypto,0.01588136117589123
2022-01-03,ETH-USD,Crypto,Crypto,-0.017804782359288618
2022-01-04,ETH-USD,Crypto,Crypto,0.008687307931515731
2022-01-05,ETH-USD,Crypto,Crypto,-0.06422404850925867
